298	1	³éÖ½	ºÐ	2	5.20	0.90	9.36
298	3	ËÕ´òË®	Æ¿	4	3.20	1.00	12.80
389	1	³éÖ½	ºÐ	2	5.20	0.90	9.36
996	1	³éÖ½	ºÐ	5	5.20	0.90	23.40
893	1	³éÖ½	ºÐ	2	5.20	0.90	9.36
624	2	Å£ÄÌ	g	2	77.00	1.00	154.00
719	1	³éÖ½	ºÐ	2	5.20	0.90	9.36
980	1	³éÖ½	ºÐ	2	5.20	0.90	9.36
633	1	³éÖ½	ºÐ	2	5.20	0.90	9.36
149	1	³éÖ½	ºÐ	12	5.20	0.90	56.16
149	2	Å£ÄÌ	g	3	77.00	1.00	231.00
221	1	³éÖ½	ºÐ	2	5.20	0.90	9.36
664	2	Å£ÄÌ	g	4	77.00	1.00	308.00
457	10	°ÂÀû°Â	´ü	99	17.50	0.80	1386.00
457	1	³éÖ½	ºÐ	1	5.20	0.90	4.68
716	1	³éÖ½	ºÐ	1	5.20	0.90	4.68
412	1	³éÖ½	ºÐ	0	5.20	0.90	0.00
371	11	Êé°ü	¸ö	1	50.00	0.80	40.00
371	11	Êé°ü	¸ö	1	50.00	0.80	40.00
163	1	³éÖ½	ºÐ	2	5.20	0.90	9.36
333	1	³éÖ½	ºÐ	1	5.20	0.90	4.68
